review_id,source,text,rating,date
1,Play Store,not good experience. i placed order of spine gourd and also pay for that but in order not received fully. i complained for that but didn't get solution. worst application. i share my order id by mail. resolve my complain.,1,2026-07-28T14:57:51
2,Play Store,best app ...deliver in mints ..👍🏻,5,2026-07-28T14:56:47
3,Play Store,poor quality products and no response from the customer support,1,2026-07-28T14:56:13
4,Play Store,the app is good but there is one problem that it is not free delivery tell me not at the items still 199 but there should be rs 100 that would be more suitable,4,2026-07-28T14:55:42
5,Play Store,why always cod is not available on the app 😡😡😡😡😡😡😡😡😡😐,1,2026-07-28T14:46:18
6,Play Store,i love blinkit but it is not available in my city please get you make it available .,4,2026-07-28T14:44:30
7,Play Store,Overall experience is ok .But once they sent me a 1 Litre detergent which had only 400 ml .They offered replacement but thats not the point .Icaught it bcoz it felt light .,3,2026-07-28T14:42:20
8,Play Store,is areaa me store mere se 1 km dur he fir bhi delivery nahi dete man chahe order available or man chahe order unavailable kitne din se request kr raha hu lekin koi sollution nahi he isse achha big basket,1,2026-07-28T14:41:01
9,Play Store,blink it take extra money for making an excuses 3rd class app,1,2026-07-28T14:39:35
10,Play Store,Great effort by mirayam & blinkit team in delivery of food to a poor and deserving girl in Jharkhand kudos to you,5,2026-07-28T14:35:32
11,Play Store,best experience low price in very nice product I buy guitar from blinkit,5,2026-07-28T14:33:58
12,Play Store,very mast h mazaaa aa jayga saman kharid ke itni jldi delivery,5,2026-07-28T14:29:38
13,Play Store,"charge more, expensive, take extra unnecessary charges",1,2026-07-28T14:27:27
14,Play Store,what the app is this never visit in exact location,1,2026-07-28T14:26:47
15,Play Store,this is one of the best delivery app come in 10 minute,5,2026-07-28T14:20:54
16,Play Store,QUALITY OF SERVICE; 10 % DELIVERY GUY FAULT BUT 90% COMPANY. DON'T BLAME DELIVERY GUY AT ALL.,1,2026-07-28T14:19:44
17,Play Store,mera order ni receive hua or pese cut gye,1,2026-07-28T14:18:03
18,Play Store,but don't shows best and cheapest price,4,2026-07-28T14:04:02
19,Play Store,they send me spillage items and when I try to complaint they didn't assign a support executive for one hr still waiting for there response,1,2026-07-28T13:59:18
20,Play Store,Quick delivery Polite support team Variety of products,5,2026-07-28T13:53:19
21,Play Store,"last minute app, doing fab, rate is little high but everything is available",5,2026-07-28T13:47:03
22,Play Store,not delivered properly...items were leaking.. all items got leaked and not good...,1,2026-07-28T13:45:50
23,Play Store,first time check your service,3,2026-07-28T13:44:26
24,Play Store,"Very fast delivery,everything of need is available",5,2026-07-28T13:43:32
25,Play Store,order missing more please check before you receive the order neither you cannot get money,1,2026-07-28T13:40:37
26,Play Store,great app from great people with great services,5,2026-07-28T13:40:05
27,Play Store,one of the worst app they are something that i didn't even order and also they didn't give me what i ordered and they say they can't resolve this issue seriously i want my replacements and refunddddddddddddddd,1,2026-07-28T13:38:42
28,Play Store,very fast and good behaviour of delivery man,5,2026-07-28T13:37:03
29,Play Store,sometimes order change or damaged,4,2026-07-28T13:34:32
30,Play Store,u could Add some medical things and can make it as a 10 min amazon,4,2026-07-28T13:34:31
31,Play Store,very good service and fast delivery,5,2026-07-28T13:33:06
32,Play Store,super fast delivery of quality items.,5,2026-07-28T13:31:26
33,Play Store,This platform always provides lesser quantity than stated in its app. Never order fruits and vegetables from Blinkit. If you reach their customer care they will ask you to weigh and give proof like customer is supposed to keep weighing machine in their house,1,2026-07-28T13:30:07
34,Play Store,"worst customer service product not replacing and refund, money waste blinkit products, don't buy from blinkit",1,2026-07-28T13:29:44
35,Play Store,ULTIMATE PRODUCT & ULTIMATE DISCOUNT PRICE,5,2026-07-28T13:29:08
36,Play Store,Very fast delivery and very awesome thank you blinkit app today I order second time very fast delivery thank you so much blinkit,5,2026-07-28T13:26:46
37,Play Store,blinkit is very good work and right time delivered your product.,5,2026-07-28T13:26:04
38,Play Store,"like your service, really very helpful this 10 min service. one suggestion you dont need to give big paper bag. i can directly collect my stuff from your delivery man.",5,2026-07-28T13:24:11
39,Play Store,Too Bad experience also customer care not responding positively,1,2026-07-28T13:21:06
40,Play Store,"Mera money account se cut gaya,order nahi hua ,money refunded nahi hua , 5 - 7 working day se jyada ho gya ,kiya refund nahi hota hai blinkit pe , next time se aap use nahi karunga ,very disappointed, ordered fail wala aap se remove ho gaya hai,jo order hua received kiye wahi sirf show kar raha hai",1,2026-07-28T13:20:22
41,Play Store,this app is very fast delivery,5,2026-07-28T13:19:02
42,Play Store,"as the first time the buyer ordered a boatt c-c charger with adapter and received only cable, delivery person is not taking responsibility, and help and support is totally missing, this feels like a scam to me",1,2026-07-28T13:19:01
43,Play Store,"abhi kya review dene ka inko, sab ek jaiseeeEe h😂😂",1,2026-07-28T13:15:17
44,Play Store,"Yes helpful app in this monsoon no other apps delivered any more products but blinkit is still in the field in this situation, but his Dilevry partner is so liaer he don't deliver the product, he stolen my product",5,2026-07-28T13:10:02
45,Play Store,wrong item received but body ready to listen,1,2026-07-28T13:09:38
46,Play Store,very nice thnx blinkit to provide service at home❤️,5,2026-07-28T13:09:06
47,Play Store,kharab sade huye vegetables delivery,2,2026-07-28T13:06:26
48,Play Store,best delivery app ever 🫶🏻,5,2026-07-28T13:03:39
49,Play Store,Awesome interface and service experience,5,2026-07-28T13:02:26
50,Play Store,"Bought an item at 29, ended up paying 89 for the product. 2km distance and charging 30 rupees for delivery, 20 for small cart charges and 10 rupees for handling charges. is there not any percentage of the product price to apply these charges? i orefer to uninstall once the order is delivered.",1,2026-07-28T12:52:34
51,Play Store,good but give gift on my birthday dx,4,2026-07-28T12:50:51
52,Play Store,"They never refunded for the wrong product delivery ,returned also but still no refund 👎👎. Disappointing . UNINSTALLED.",1,2026-07-28T12:50:17
53,Play Store,very disappointed with the return policy of this app I have ordered 100 plus products on this app but I wanted to return one product but they will not do it 100 excuses against state very disappointed and so uninstalling it,1,2026-07-28T12:49:59
54,Play Store,"costing compare to other platforms, hidden charges always lies with chor blinkit",1,2026-07-28T12:46:30
55,Play Store,sometimes quality not good and it's very difficult to return it. when it's not good you should make arrangement to take back on the spot of delivery,3,2026-07-28T12:43:58
56,Play Store,the best app for ordering....easy to order and fast delivery,5,2026-07-28T12:42:26
57,Play Store,"getting delivered in last minute is something to be appreciated, I really liked ur services like well packed without plastic used and safely delivered on time or sometimes earlier. delivery agents deserve to be thankful for their services. Thank you🙌🏻",4,2026-07-28T12:36:08
58,Play Store,some time never come at door step,4,2026-07-28T12:30:59
59,Play Store,worst behavior of your delivery partner very worst means very worst I was try to cancle the order but it won't if it is like this how can we order again in your store very worst I will never purchase anything from you,1,2026-07-28T12:26:02
60,Play Store,for instance delivery but very expensives,4,2026-07-28T12:25:09
61,Play Store,Different variety and different sizes of products not available.,1,2026-07-28T12:23:17
62,Play Store,They deliver the wrong product and then stall when it comes to the return process.,1,2026-07-28T12:18:42
63,Play Store,Items and especially the delivery boy both are too good. thank you for such prompt services. keep it up. Radhe Radhe,5,2026-07-28T12:11:27
64,Play Store,no doubt this app is realy nice but the prices of groceries is expensive comparing with other apps because so much of charges are there and not only charges but many things are expensive for no reason than other apps,4,2026-07-28T12:11:11
65,Play Store,very bad experience with customer care everyone should try unother aap,1,2026-07-28T12:09:16
66,Play Store,just blink it 🤗 and you will receive whatever you want 💕,5,2026-07-28T12:06:13
67,Play Store,nice when ur are needed,5,2026-07-28T12:05:22
68,Play Store,delivery charges is very high,5,2026-07-28T11:56:12
69,Play Store,mast sarvice fast delivery 5 star rating,5,2026-07-28T11:50:05
70,Play Store,Best app for fastest delivery available on playstore unlike jiomart which crashes regularly blinkit never does I used to order things which are very necessary at the point of time and it never dissappointed me. A big thanks from me to the developers and delivery persons.,5,2026-07-28T11:46:56
71,Play Store,man other websites give damaged product but blinkit does not it is very good but they increased the amount to get free delivery very goood,5,2026-07-28T11:46:06
72,Play Store,worst app did not deliver all items and also they did not refund my money. don't order bulk items from this app.,1,2026-07-28T11:35:27
73,Play Store,This Company Service is Best For emergency BEAUTIFUL App,5,2026-07-28T11:30:35
74,Play Store,very bad . because I order something less is coming and we are paying for that items 😞 bad experience,2,2026-07-28T11:29:15
75,Play Store,promoting offers through third party app and not giving cashback as mentioned,1,2026-07-28T11:24:18
76,Play Store,"It's good that you're providing service to the public, but there should also be an option to return goods that don't deliver, otherwise, the customer's trust will be lost, and this isn't good for business. I love blanket But the service needs to be better.",1,2026-07-28T11:24:12
77,Play Store,good job for bli plnkit people,5,2026-07-28T11:21:05
78,Play Store,"I placed a COD order for ice cream worth ₹302. At the time of delivery, I tried paying online via Google Pay. The payment initially showed as failed, so I paid ₹302 in cash to the delivery partner. However, two payments of ₹302 were deducted via Google Pay from my brother's account. I have received the refund for one, but the second payment of ₹302 is still not refunded. Since I already paid in cash, please process the refund for this extra Google Pay transaction as soon as possible",1,2026-07-28T11:20:10
79,Play Store,dry fruits items is not fresh & heavy cost,1,2026-07-28T11:13:41
80,Play Store,They will mention 7 days replacement in the product page but after ordering and when product does not work they will not provide replacement. scamming people. even after providing video proof they are not ready to provide replacement. scam service.,1,2026-07-28T11:10:31
81,Play Store,pure product nhi bhejata missing rahata hai ab kabhi nhi mangaungi,1,2026-07-28T11:05:52
82,Play Store,it's Good 😊 I am Happy With Blenkint,5,2026-07-28T11:05:23
